"","run","discount","nblock","type","row","names","par","true_par","convergence"
"178",26,0,30,1,1,"color",0.997999989464582,0.98,0
"179",26,0,30,1,1,"lambda",9.99490405041516,1,0
"180",26,0,30,1,1,"b0",0.26226018281148,0.5,0
"181",26,0,30,1,1,"b1",0.737739817188756,0.5,0
"182",26,0,30,1,1,"tau",0.273236277481525,0.1,0
"183",27,0,30,1,1,"size",0.00100000000000061,0.01,0
"184",27,0,30,1,1,"shape",0.773641114646957,0.01,0
"185",27,0,30,1,1,"color",0.225358885353043,0.98,0
"186",27,0,30,1,1,"lambda",9.99991175519879,1,0
"187",27,0,30,1,1,"b0",0.442747455031141,0.5,0
"188",27,0,30,1,1,"b1",0.557252544968859,0.5,0
"189",27,0,30,1,1,"tau",0.228221467476892,0.1,0
"190",28,0,30,1,1,"size",0.0010343421775794,0.01,0
"191",28,0,30,1,1,"shape",0.00100464669922105,0.01,0
"192",28,0,30,1,1,"color",0.9979610111232,0.98,0
"193",28,0,30,1,1,"lambda",9.98167484777513,1,0
"194",28,0,30,1,1,"b0",0.0589785287540591,0.5,0
"195",28,0,30,1,1,"b1",0.941021471245941,0.5,0
"196",28,0,30,1,1,"tau",0.209270342487995,0.1,0
"197",29,0,30,1,1,"size",0.00100003337040926,0.01,0
"198",29,0,30,1,1,"shape",0.00100000000082908,0.01,0
"199",29,0,30,1,1,"color",0.997999966628762,0.98,0
"200",29,0,30,1,1,"lambda",6.07546264689318,1,0
"201",29,0,30,1,1,"b0",0.436430499134513,0.5,0
"202",29,0,30,1,1,"b1",0.563569500865487,0.5,0
"203",29,0,30,1,1,"tau",0.208407697885989,0.1,0
"204",30,0,30,1,1,"size",0.00100000027627637,0.01,0
"205",30,0,30,1,1,"shape",0.00100000097505695,0.01,0
"206",30,0,30,1,1,"color",0.997999998748667,0.98,0
"207",30,0,30,1,1,"lambda",9.68257652486043,1,0
"208",30,0,30,1,1,"b0",0.0571573244632884,0.5,0
"209",30,0,30,1,1,"b1",0.942842675536712,0.5,0
"210",30,0,30,1,1,"tau",0.209208533589723,0.1,0
"211",31,0,30,1,1,"size",0.0743784645752693,0.01,0
"212",31,0,30,1,1,"shape",0.00100000000000001,0.01,0
"213",31,0,30,1,1,"color",0.924621535424731,0.98,0
"214",31,0,30,1,1,"lambda",3.93722538613173,1,0
"215",31,0,30,1,1,"b0",0.924081351276206,0.5,0
"216",31,0,30,1,1,"b1",0.0759186487237936,0.5,0
"217",31,0,30,1,1,"tau",0.119927586701998,0.1,0
"218",32,0,30,1,1,"size",0.00104797351788416,0.01,0
"219",32,0,30,1,1,"shape",0.00100400845759564,0.01,0
"220",32,0,30,1,1,"color",0.99794801802452,0.98,0
"221",32,0,30,1,1,"lambda",9.93928366660493,1,0
"222",32,0,30,1,1,"b0",0.0654545563550107,0.5,0
"223",32,0,30,1,1,"b1",0.934545443644989,0.5,0
"224",32,0,30,1,1,"tau",0.209281851079978,0.1,0
"225",33,0,30,1,1,"size",0.22038711920766,0.01,0
"226",33,0,30,1,1,"shape",0.379095098949343,0.01,0
"227",33,0,30,1,1,"color",0.400517781842997,0.98,0
"228",33,0,30,1,1,"lambda",0.912602323154836,1,0
"229",33,0,30,1,1,"b0",0.420379737638515,0.5,0
"230",33,0,30,1,1,"b1",0.579620262361485,0.5,0
"231",33,0,30,1,1,"tau",0.00544114650008444,0.1,0
"232",34,0,30,1,1,"size",0.00100001958986772,0.01,0
"233",34,0,30,1,1,"shape",0.00100000004432825,0.01,0
"234",34,0,30,1,1,"color",0.997999980365804,0.98,0
"235",34,0,30,1,1,"lambda",9.40614270786551,1,0
"236",34,0,30,1,1,"b0",0.343764468617607,0.5,0
"237",34,0,30,1,1,"b1",0.656235531382393,0.5,0
"238",34,0,30,1,1,"tau",0.209385891708086,0.1,0
"239",35,0,30,1,1,"size",0.329680059236995,0.01,0
"240",35,0,30,1,1,"shape",0.00100029555950532,0.01,0
"241",35,0,30,1,1,"color",0.6693196452035,0.98,0
"242",35,0,30,1,1,"lambda",1.32730112076121,1,0
"243",35,0,30,1,1,"b0",0.53076740214113,0.5,0
"244",35,0,30,1,1,"b1",0.46923259785887,0.5,0
"245",35,0,30,1,1,"tau",0.0978216867242682,0.1,0
"246",36,0,30,1,1,"size",0.11683239191429,0.01,0
"247",36,0,30,1,1,"shape",0.408739481221494,0.01,0
"248",36,0,30,1,1,"color",0.474428126864216,0.98,0
"249",36,0,30,1,1,"lambda",0.716965070928078,1,0
"250",36,0,30,1,1,"b0",0.424625835150075,0.5,0
"251",36,0,30,1,1,"b1",0.575374164849925,0.5,0
"252",36,0,30,1,1,"tau",0.00540594532317267,0.1,0
"253",37,0,30,1,1,"size",0.00100003963937138,0.01,0
"254",37,0,30,1,1,"shape",0.00100000000000004,0.01,0
"255",37,0,30,1,1,"color",0.997999960360629,0.98,0
"256",37,0,30,1,1,"lambda",4.81735924123496,1,0
"257",37,0,30,1,1,"b0",0.937357720050229,0.5,0
"258",37,0,30,1,1,"b1",0.0626422799497712,0.5,0
"259",37,0,30,1,1,"tau",0.210691945116143,0.1,0
