"","run","discount","nblock","type","row","names","par","true_par","convergence"
"243",2,3,30,1,6,"shape",0.846274674148687,1,0
"244",3,3,30,1,6,"size",0.00100000000000003,0.333666666666667,0
"245",3,3,30,1,6,"shape",0.859183726681,0.333,0
"246",3,3,30,1,6,"color",0.139816273319,0.333333333333333,0
"247",3,3,30,1,6,"lambda",3.48716249190619,5,0
"248",3,3,30,1,6,"b0",0.516723618530732,1,0
"249",3,3,30,1,6,"b1",0.483276381469268,1,0
"250",3,3,30,1,6,"tau",0.295041908726081,0.5,0
"251",3,3,30,1,6,"size",0.00100000000000003,0.5,0
"252",3,3,30,1,6,"shape",0.859183726681,1,0
"253",4,3,30,1,6,"size",0.649719787417582,0.333666666666667,0
"254",4,3,30,1,6,"shape",0.00100000002020142,0.333,0
"255",4,3,30,1,6,"color",0.349280212562326,0.333333333333333,0
"256",4,3,30,1,6,"lambda",9.99999854736779,5,0
"257",4,3,30,1,6,"b0",0.872970427039248,1,0
"258",4,3,30,1,6,"b1",0.127029572960752,1,0
"259",4,3,30,1,6,"tau",1.21452217450174,0.5,0
"260",4,3,30,1,6,"size",0.649719787417582,0.5,0
"261",4,3,30,1,6,"shape",0.00100000002020142,1,0
"262",5,3,30,1,6,"size",0.00100000000000001,0.333666666666667,0
"263",5,3,30,1,6,"shape",0.855460179539874,0.333,0
"264",5,3,30,1,6,"color",0.143539820460126,0.333333333333333,0
"265",5,3,30,1,6,"lambda",6.65214177704929,5,0
"266",5,3,30,1,6,"b0",0.509592774497523,1,0
"267",5,3,30,1,6,"b1",0.490407225502459,1,0
"268",5,3,30,1,6,"tau",0.459326942016214,0.5,0
"269",5,3,30,1,6,"size",0.00100000000000001,0.5,0
"270",5,3,30,1,6,"shape",0.855460179539874,1,0
"271",1,3,30,2,1,"size",0.304200922373453,0.333666666666667,0
"272",1,3,30,2,1,"shape",0.671773217809113,0.333,0
"273",1,3,30,2,1,"color",0.0240258598176218,0.333333333333333,0
"274",1,3,30,2,1,"lambda",9.99999544694749,1,0
"275",1,3,30,2,1,"b0",0.508647671615792,1,0
"276",1,3,30,2,1,"b1",0.491352328384208,1,0
"277",1,3,30,2,1,"tau",0.289259259324755,0.5,0
"278",1,3,30,2,1,"size",0.304200922373453,0.5,0
"279",1,3,30,2,1,"shape",0.671773217809113,0.1,0
"280",2,3,30,2,1,"size",0.00100125004007044,0.333666666666667,0
"281",2,3,30,2,1,"shape",0.413284238427823,0.333,0
"282",2,3,30,2,1,"color",0.585714511532107,0.333333333333333,0
"283",2,3,30,2,1,"lambda",0.64165656589763,1,0
"284",2,3,30,2,1,"b0",0.493316635223857,1,0
